studentId,date,status,class,section,schoolId
1,2025-09-13,Absent,Class 4,B,1
1,2025-09-12,Present,Class 4,B,1
1,2025-09-11,Present,Class 4,B,1
1,2025-09-10,Present,Class 4,B,1
1,2025-09-09,Absent,Class 4,B,1
1,2025-09-08,Present,Class 4,B,1
1,2025-09-07,Absent,Class 4,B,1
1,2025-09-06,Present,Class 4,B,1
1,2025-09-05,Absent,Class 4,B,1
1,2025-09-04,Absent,Class 4,B,1
1,2025-09-03,Present,Class 4,B,1
1,2025-09-02,Present,Class 4,B,1
1,2025-09-01,Present,Class 4,B,1
1,2025-08-31,Absent,Class 4,B,1
1,2025-08-30,Present,Class 4,B,1
1,2025-08-29,Present,Class 4,B,1
1,2025-08-28,Present,Class 4,B,1
1,2025-08-27,Absent,Class 4,B,1
1,2025-08-26,Present,Class 4,B,1
1,2025-08-25,Present,Class 4,B,1
1,2025-08-24,Absent,Class 4,B,1
1,2025-08-23,Present,Class 4,B,1
1,2025-08-22,Present,Class 4,B,1
1,2025-08-21,Absent,Class 4,B,1
1,2025-08-20,Absent,Class 4,B,1
1,2025-08-19,Present,Class 4,B,1
1,2025-08-18,Absent,Class 4,B,1
1,2025-08-17,Present,Class 4,B,1
1,2025-08-16,Present,Class 4,B,1
1,2025-08-15,Present,Class 4,B,1
2,2025-09-13,Present,Class 4,C,1
2,2025-09-12,Present,Class 4,C,1
2,2025-09-11,Absent,Class 4,C,1
2,2025-09-10,Present,Class 4,C,1
2,2025-09-09,Present,Class 4,C,1
2,2025-09-08,Present,Class 4,C,1
2,2025-09-07,Present,Class 4,C,1
2,2025-09-06,Present,Class 4,C,1
2,2025-09-05,Absent,Class 4,C,1
2,2025-09-04,Present,Class 4,C,1
2,2025-09-03,Absent,Class 4,C,1
2,2025-09-02,Absent,Class 4,C,1
2,2025-09-01,Present,Class 4,C,1
2,2025-08-31,Absent,Class 4,C,1
2,2025-08-30,Present,Class 4,C,1
2,2025-08-29,Present,Class 4,C,1
2,2025-08-28,Present,Class 4,C,1
2,2025-08-27,Absent,Class 4,C,1
2,2025-08-26,Absent,Class 4,C,1
2,2025-08-25,Present,Class 4,C,1
2,2025-08-24,Present,Class 4,C,1
2,2025-08-23,Absent,Class 4,C,1
2,2025-08-22,Present,Class 4,C,1
2,2025-08-21,Present,Class 4,C,1
2,2025-08-20,Absent,Class 4,C,1
2,2025-08-19,Present,Class 4,C,1
2,2025-08-18,Present,Class 4,C,1
2,2025-08-17,Absent,Class 4,C,1
2,2025-08-16,Present,Class 4,C,1
2,2025-08-15,Present,Class 4,C,1
3,2025-09-13,Present,Class 10,E,1
3,2025-09-12,Absent,Class 10,E,1
3,2025-09-11,Present,Class 10,E,1
3,2025-09-10,Present,Class 10,E,1
3,2025-09-09,Present,Class 10,E,1
3,2025-09-08,Present,Class 10,E,1
3,2025-09-07,Present,Class 10,E,1
3,2025-09-06,Present,Class 10,E,1
3,2025-09-05,Present,Class 10,E,1
3,2025-09-04,Absent,Class 10,E,1
3,2025-09-03,Absent,Class 10,E,1
3,2025-09-02,Present,Class 10,E,1
3,2025-09-01,Present,Class 10,E,1
3,2025-08-31,Present,Class 10,E,1
3,2025-08-30,Present,Class 10,E,1
3,2025-08-29,Present,Class 10,E,1
3,2025-08-28,Present,Class 10,E,1
3,2025-08-27,Present,Class 10,E,1
3,2025-08-26,Absent,Class 10,E,1
3,2025-08-25,Present,Class 10,E,1
3,2025-08-24,Present,Class 10,E,1
3,2025-08-23,Present,Class 10,E,1
3,2025-08-22,Present,Class 10,E,1
3,2025-08-21,Absent,Class 10,E,1
3,2025-08-20,Absent,Class 10,E,1
3,2025-08-19,Present,Class 10,E,1
3,2025-08-18,Present,Class 10,E,1
3,2025-08-17,Present,Class 10,E,1
3,2025-08-16,Absent,Class 10,E,1
3,2025-08-15,Present,Class 10,E,1
4,2025-09-13,Present,Class 4,B,1
4,2025-09-12,Present,Class 4,B,1
4,2025-09-11,Absent,Class 4,B,1
4,2025-09-10,Present,Class 4,B,1
4,2025-09-09,Present,Class 4,B,1
4,2025-09-08,Absent,Class 4,B,1
4,2025-09-07,Present,Class 4,B,1
4,2025-09-06,Present,Class 4,B,1
4,2025-09-05,Absent,Class 4,B,1
4,2025-09-04,Absent,Class 4,B,1
4,2025-09-03,Absent,Class 4,B,1
4,2025-09-02,Present,Class 4,B,1
4,2025-09-01,Present,Class 4,B,1
4,2025-08-31,Present,Class 4,B,1
4,2025-08-30,Present,Class 4,B,1
4,2025-08-29,Present,Class 4,B,1
